Article,Timestamp,Image metadata URL,Raw image URL
"Emissions trading",2019-07-09T00:31:06Z,"https://commons.wikimedia.org/wiki/File:Coal power plant Datteln 2 Crop1.png","https://upload.wikimedia.org/wikipedia/commons/d/d6/Coal_power_plant_Datteln_2_Crop1.png"
"Emissions trading",2019-07-09T00:31:06Z,"https://commons.wikimedia.org/wiki/File:Emissions.Trading.jpeg","https://upload.wikimedia.org/wikipedia/commons/0/0e/Emissions.Trading.jpeg"
"Emissions trading",2019-07-09T00:31:06Z,"https://commons.wikimedia.org/wiki/File:Carbon taxes and emission trading worldwide 2019.svg","https://upload.wikimedia.org/wikipedia/commons/1/19/Carbon_taxes_and_emission_trading_worldwide_2019.svg"
"Emissions trading",2019-07-09T00:31:06Z,"https://commons.wikimedia.org/wiki/File:NZU-NZ-emission-unit-720by540.svg","https://upload.wikimedia.org/wikipedia/commons/3/3e/NZU-NZ-emission-unit-720by540.svg"
"Emissions trading",2019-07-09T00:31:06Z,"https://commons.wikimedia.org/wiki/File:Classification List of Organic Pollutants.png","https://upload.wikimedia.org/wikipedia/commons/c/cc/Classification_List_of_Organic_Pollutants.png"
"Emissions trading",2019-07-09T00:31:06Z,"https://commons.wikimedia.org/wiki/File:2009-11-30 - Chicago Climate Justice activists in Chicago - Cap'n'Trade protest 011.jpg","https://upload.wikimedia.org/wikipedia/commons/0/05/2009-11-30_-_Chicago_Climate_Justice_activists_in_Chicago_-_Cap'n'Trade_protest_011.jpg"
"Emissions trading",2019-07-09T00:30:28Z,"https://commons.wikimedia.org/wiki/File:Coal power plant Datteln 2 Crop1.png","https://upload.wikimedia.org/wikipedia/commons/d/d6/Coal_power_plant_Datteln_2_Crop1.png"
"Emissions trading",2019-07-09T00:30:28Z,"https://commons.wikimedia.org/wiki/File:Emissions.Trading.jpeg","https://upload.wikimedia.org/wikipedia/commons/0/0e/Emissions.Trading.jpeg"
"Emissions trading",2019-07-09T00:30:28Z,"https://commons.wikimedia.org/wiki/File:Carbon taxes and emission trading worldwide 2019.svg","https://upload.wikimedia.org/wikipedia/commons/1/19/Carbon_taxes_and_emission_trading_worldwide_2019.svg"
"Emissions trading",2019-07-09T00:30:28Z,"https://commons.wikimedia.org/wiki/File:NZU-NZ-emission-unit-720by540.svg","https://upload.wikimedia.org/wikipedia/commons/3/3e/NZU-NZ-emission-unit-720by540.svg"
"Emissions trading",2019-07-09T00:30:28Z,"https://commons.wikimedia.org/wiki/File:Classification List of Organic Pollutants.png","https://upload.wikimedia.org/wikipedia/commons/c/cc/Classification_List_of_Organic_Pollutants.png"
"Emissions trading",2019-07-09T00:30:28Z,"https://commons.wikimedia.org/wiki/File:2009-11-30 - Chicago Climate Justice activists in Chicago - Cap'n'Trade protest 011.jpg","https://upload.wikimedia.org/wikipedia/commons/0/05/2009-11-30_-_Chicago_Climate_Justice_activists_in_Chicago_-_Cap'n'Trade_protest_011.jpg"
"Emissions trading",2019-07-09T00:29:01Z,"https://commons.wikimedia.org/wiki/File:Coal power plant Datteln 2 Crop1.png","https://upload.wikimedia.org/wikipedia/commons/d/d6/Coal_power_plant_Datteln_2_Crop1.png"
"Emissions trading",2019-07-09T00:29:01Z,"https://commons.wikimedia.org/wiki/File:Emissions.Trading.jpeg","https://upload.wikimedia.org/wikipedia/commons/0/0e/Emissions.Trading.jpeg"
"Emissions trading",2019-07-09T00:29:01Z,"https://commons.wikimedia.org/wiki/File:Carbon taxes and emission trading worldwide 2019.svg","https://upload.wikimedia.org/wikipedia/commons/1/19/Carbon_taxes_and_emission_trading_worldwide_2019.svg"
"Emissions trading",2019-07-09T00:29:01Z,"https://commons.wikimedia.org/wiki/File:NZU-NZ-emission-unit-720by540.svg","https://upload.wikimedia.org/wikipedia/commons/3/3e/NZU-NZ-emission-unit-720by540.svg"
"Emissions trading",2019-07-09T00:29:01Z,"https://commons.wikimedia.org/wiki/File:Classification List of Organic Pollutants.png","https://upload.wikimedia.org/wikipedia/commons/c/cc/Classification_List_of_Organic_Pollutants.png"
"Emissions trading",2019-07-09T00:29:01Z,"https://commons.wikimedia.org/wiki/File:2009-11-30 - Chicago Climate Justice activists in Chicago - Cap'n'Trade protest 011.jpg","https://upload.wikimedia.org/wikipedia/commons/0/05/2009-11-30_-_Chicago_Climate_Justice_activists_in_Chicago_-_Cap'n'Trade_protest_011.jpg"
"Emissions trading",2019-07-09T00:24:41Z,"https://commons.wikimedia.org/wiki/File:Coal power plant Datteln 2 Crop1.png","https://upload.wikimedia.org/wikipedia/commons/d/d6/Coal_power_plant_Datteln_2_Crop1.png"
