Article,Timestamp,Image metadata URL,Raw image URL
"Politics of global warming",2019-06-02T17:25:35Z,"https://commons.wikimedia.org/wiki/File:Politics of global warming.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Politics_of_global_warming.jpg"
"Politics of global warming",2019-06-02T17:25:35Z,"https://commons.wikimedia.org/wiki/File:BoiseDSAClimateChangeMarchers.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/BoiseDSAClimateChangeMarchers.jpg"
"Politics of global warming",2019-06-02T17:25:35Z,"https://commons.wikimedia.org/wiki/File:CO2 emission pie chart.svg","https://upload.wikimedia.org/wikipedia/commons/c/ca/CO2_emission_pie_chart.svg"
"Politics of global warming",2019-06-02T17:25:35Z,"https://commons.wikimedia.org/wiki/File:DanielPatrickMoynihan.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fd/DanielPatrickMoynihan.jpg"
"Politics of global warming",2019-05-25T00:30:10Z,"https://commons.wikimedia.org/wiki/File:Politics of global warming.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Politics_of_global_warming.jpg"
"Politics of global warming",2019-05-25T00:30:10Z,"https://commons.wikimedia.org/wiki/File:BoiseDSAClimateChangeMarchers.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/BoiseDSAClimateChangeMarchers.jpg"
"Politics of global warming",2019-05-25T00:30:10Z,"https://commons.wikimedia.org/wiki/File:CO2 emission pie chart.svg","https://upload.wikimedia.org/wikipedia/commons/c/ca/CO2_emission_pie_chart.svg"
"Politics of global warming",2019-05-25T00:30:10Z,"https://commons.wikimedia.org/wiki/File:DanielPatrickMoynihan.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fd/DanielPatrickMoynihan.jpg"
"Politics of global warming",2019-04-29T12:04:16Z,"https://commons.wikimedia.org/wiki/File:Politics of global warming.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Politics_of_global_warming.jpg"
"Politics of global warming",2019-04-29T12:04:16Z,"https://commons.wikimedia.org/wiki/File:BoiseDSAClimateChangeMarchers.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/BoiseDSAClimateChangeMarchers.jpg"
"Politics of global warming",2019-04-29T12:04:16Z,"https://commons.wikimedia.org/wiki/File:CO2 emission pie chart.svg","https://upload.wikimedia.org/wikipedia/commons/c/ca/CO2_emission_pie_chart.svg"
"Politics of global warming",2019-04-29T12:04:16Z,"https://commons.wikimedia.org/wiki/File:DanielPatrickMoynihan.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fd/DanielPatrickMoynihan.jpg"
"Politics of global warming",2019-04-29T12:03:35Z,"https://commons.wikimedia.org/wiki/File:Politics of global warming.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Politics_of_global_warming.jpg"
"Politics of global warming",2019-04-29T12:03:35Z,"https://commons.wikimedia.org/wiki/File:BoiseDSAClimateChangeMarchers.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/BoiseDSAClimateChangeMarchers.jpg"
"Politics of global warming",2019-04-29T12:03:35Z,"https://commons.wikimedia.org/wiki/File:CO2 emission pie chart.svg","https://upload.wikimedia.org/wikipedia/commons/c/ca/CO2_emission_pie_chart.svg"
"Politics of global warming",2019-04-29T12:03:35Z,"https://commons.wikimedia.org/wiki/File:DanielPatrickMoynihan.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fd/DanielPatrickMoynihan.jpg"
"Politics of global warming",2019-04-29T12:01:09Z,"https://commons.wikimedia.org/wiki/File:Politics of global warming.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Politics_of_global_warming.jpg"
"Politics of global warming",2019-04-29T12:01:09Z,"https://commons.wikimedia.org/wiki/File:BoiseDSAClimateChangeMarchers.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/BoiseDSAClimateChangeMarchers.jpg"
"Politics of global warming",2019-04-29T12:01:09Z,"https://commons.wikimedia.org/wiki/File:CO2 emission pie chart.svg","https://upload.wikimedia.org/wikipedia/commons/c/ca/CO2_emission_pie_chart.svg"
"Politics of global warming",2019-04-29T12:01:09Z,"https://commons.wikimedia.org/wiki/File:DanielPatrickMoynihan.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fd/DanielPatrickMoynihan.jpg"
"Politics of global warming",2019-04-23T13:45:26Z,"https://commons.wikimedia.org/wiki/File:Politics of global warming.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Politics_of_global_warming.jpg"
"Politics of global warming",2019-04-23T13:45:26Z,"https://commons.wikimedia.org/wiki/File:BoiseDSAClimateChangeMarchers.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/BoiseDSAClimateChangeMarchers.jpg"
